Latitude,Longitude,valid_hours,total_hours,valid_ratio,year,avg_z0
-36.4472,142.2898,3920.0,8748,0.4481024234110654,2010,0.08234671503305435
-40.7792,148.0072,6386.0,8748,0.7299954275262918,2010,0.03
-37.6914,142.582,6648.0,8748,0.7599451303155007,2010,0.957575261592865
-32.5954,137.8854,3378.0,8748,0.38614540466392316,2010,0.12118622660636902
-40.8685,145.3527,3801.0,8748,0.43449931412894377,2010,0.03
-38.4142,141.5427,0.0,8748,0.0,2010,0.03
-38.4142,141.5427,0.0,8748,0.0,2010,0.03
-38.4143,141.541,0.0,8748,0.0,2010,0.03
-38.4142,141.5427,0.0,8748,0.0,2010,0.03
-38.318,142.0277,7374.0,8748,0.8429355281207133,2010,1.2743868827819824
-38.2708,142.1435,7434.0,8748,0.8497942386831275,2010,1.0245604515075684
-34.6331,148.9533,3850.0,8748,0.44010059442158206,2010,0.14753910899162292
-37.9173,142.7821,3229.0,8748,0.3691129401005944,2010,0.1559280902147293
-29.6998,151.4111,1461.0,8748,0.1670096021947874,2010,0.07018908858299255
-31.8609,141.2964,6836.0,8748,0.7814357567443987,2010,0.3339770436286926
-33.7317,138.1352,3532.0,8748,0.4037494284407865,2010,0.04685270041227341
-33.7317,138.1352,3532.0,8748,0.4037494284407865,2010,0.04685270041227341
-33.7317,138.1352,3532.0,8748,0.4037494284407865,2010,0.04685270041227341
-35.5703,138.1575,6092.0,8748,0.6963877457704618,2010,0.03
-37.5542,143.3033,4050.0,8748,0.46296296296296297,2010,0.16436755657196045
-40.7294,144.6894,0.0,8748,0.0,2010,0.03
-34.4289,149.8624,2522.0,8748,0.28829446730681296,2010,0.7682647109031677
-34.4289,149.8624,2522.0,8748,0.28829446730681296,2010,0.7682647109031677
-34.4289,149.8624,2522.0,8748,0.28829446730681296,2010,0.7682647109031677
-38.6536,146.3394,4431.0,8748,0.5065157750342936,2010,0.20734426379203796
-29.2406,124.5403,6215.0,8748,0.710448102423411,2010,0.41358789801597595
-32.5825,149.1772,2234.0,8748,0.2553726566072245,2010,0.08214859664440155
-28.8988,114.869,6329.0,8748,0.7234796524919982,2010,0.08227826654911041
-26.5954,151.2463,5481.0,8748,0.6265432098765432,2010,1.2414919137954712
-29.9384,115.5336,5844.0,8748,0.6680384087791496,2010,0.07667022943496704
-33.9965,138.9152,4993.0,8748,0.5707590306355739,2010,0.1528605818748474
-34.0011,138.911,4993.0,8748,0.5707590306355739,2010,0.1528605818748474
-35.1373,137.6977,6489.0,8748,0.7417695473251029,2010,0.03957614675164223
-37.3614,143.6026,3175.0,8748,0.36294010059442156,2010,0.16206900775432587
-29.7718,151.5755,1278.0,8748,0.14609053497942387,2010,0.07018908858299255
-33.3906,138.8553,4018.0,8748,0.459304983996342,2010,0.1392577737569809
-33.3906,138.8553,4018.0,8748,0.459304983996342,2010,0.1392577737569809
-17.5892,145.5314,4599.0,8748,0.5257201646090535,2010,1.0744245052337646
-38.6074,145.548,0.0,8748,0.0,2010,0.03
-35.0788,149.5655,2596.0,8748,0.2967535436671239,2010,0.09393142908811569
-37.7165,144.242,4938.0,8748,0.5644718792866941,2010,1.276016354560852
-38.3053,142.0184,7374.0,8748,0.8429355281207133,2010,1.2743868827819824
-30.6723,115.703,4777.0,8748,0.5460676726108825,2010,0.0771915540099144
-37.631,144.0225,2200.0,8748,0.25148605395518975,2010,0.683164656162262
-37.5965,143.4996,3451.0,8748,0.3944901691815272,2010,0.15801264345645905
-34.5165,149.5425,3821.0,8748,0.43678555098308186,2010,0.6851886510848999
-35.037,117.319,7538.0,8748,0.8616826703246456,2010,2.1395161151885986
-36.34,141.4474,3962.0,8748,0.4529035208047554,2010,0.07520826905965805
-33.6497,150.0501,1854.0,8748,0.21193415637860083,2010,0.06176192685961723
-37.4246,144.1157,6638.0,8748,0.7588020118884317,2010,1.2935206890106201
-27.8983,114.1924,7617.0,8748,0.870713305898491,2010,0.03
-30.9422,115.3666,6537.0,8748,0.7472565157750343,2010,0.7481029629707336
-37.4188,142.8243,3477.0,8748,0.39746227709190673,2010,0.608084499835968
-38.5284,142.9162,6676.0,8748,0.763145861911294,2010,0.7933694124221802
-30.8581,115.4633,5663.0,8748,0.6473479652491998,2010,0.7481029629707336
47.8302,17.0197,3362.0,8748,0.3843164151806127,2010,0.048046112060546875
47.8238,17.0494,3362.0,8748,0.3843164151806127,2010,0.048046112060546875
47.7964,17.0391,3337.0,8748,0.3814586191129401,2010,0.0484408475458622
48.1838,16.6864,3451.0,8748,0.3944901691815272,2010,0.0492917001247406
47.937,16.5345,3181.0,8748,0.363625971650663,2010,0.05108731612563133
48.3477,16.6451,3406.0,8748,0.3893461362597165,2010,0.04735475778579712
48.0975,16.8951,3314.0,8748,0.3788294467306813,2010,0.04870801419019699
47.7381,16.5013,5810.0,8748,0.6641518061271148,2010,2.3947582244873047
48.0323,16.7238,3488.0,8748,0.39871970736168266,2010,0.05108731612563133
48.0135,16.83,3531.0,8748,0.40363511659807955,2010,0.04908151179552078
47.5801,16.6214,6050.0,8748,0.6915866483767719,2010,2.3936331272125244
48.0478,16.9837,3316.0,8748,0.3790580704160951,2010,0.04908151179552078
48.4937,16.798,3094.0,8748,0.3536808413351623,2010,0.04823625460267067
48.4937,16.798,3094.0,8748,0.3536808413351623,2010,0.04823625460267067
48.4949,16.7973,3094.0,8748,0.3536808413351623,2010,0.04823625460267067
48.4949,16.7973,3094.0,8748,0.3536808413351623,2010,0.04823625460267067
48.4949,16.7973,3094.0,8748,0.3536808413351623,2010,0.04823625460267067
